episode,timestep,reward
7,2000,-539.4517
16,4000,-313.3116
26,6000,-507.5803
35,8000,-259.3907
42,10000,-110.0552
50,12000,-201.6505
57,14000,-369.1091
64,16000,-167.0482
71,18000,-238.9281
78,20000,-80.7482
88,22000,82.0665
94,24000,-152.0615
103,26000,-40.224
112,28000,184.1684
121,30000,76.2922
126,32000,78.7722
133,34000,-103.7014
141,36000,-6.7613
151,38000,70.0221
160,40000,96.5704
166,42000,90.0904
175,44000,90.0901
183,46000,246.8436
189,48000,238.3407
198,50000,126.4769
207,52000,185.4216
216,54000,189.1666
224,56000,326.9206
234,58000,118.3822
242,60000,158.2737
251,62000,112.7928
259,64000,275.7842
270,66000,201.2475
279,68000,177.1303
288,70000,122.3363
297,72000,282.2687
306,74000,201.2633
314,76000,226.6879
323,78000,145.5502
331,80000,1.755
340,82000,0.7175
348,84000,172.7906
356,86000,174.6981
366,88000,167.9016
372,90000,230.4846
380,92000,168.0278
386,94000,223.7242
394,96000,102.25
402,98000,228.879
410,100000,198.3913
417,102000,282.6408
425,104000,322.638
431,106000,-49.02
439,108000,204.6643
447,110000,287.4012
456,112000,135.3456
464,114000,190.3799
473,116000,184.5713
479,118000,-327.8016
486,120000,271.2984
493,122000,-528.5768
502,124000,168.7359
511,126000,221.1154
518,128000,311.4145
527,130000,237.2099
535,132000,286.0326
543,134000,362.6137
551,136000,302.0033
559,138000,381.501
565,140000,298.7141
572,142000,114.7563
580,144000,337.2649
588,146000,359.2749
594,148000,116.0447
601,150000,217.2775
608,152000,239.1697
615,154000,318.9534
623,156000,301.494
631,158000,277.8288
638,160000,291.7939
646,162000,271.8216
653,164000,279.0441
660,166000,314.1264
668,168000,282.6398
675,170000,253.0801
683,172000,191.3616
691,174000,283.5987
699,176000,358.423
707,178000,312.1625
715,180000,326.2122
723,182000,408.4809
731,184000,333.2462
739,186000,344.1519
748,188000,331.1136
755,190000,343.3076
762,192000,276.4442
768,194000,298.3361
774,196000,328.6083
781,198000,360.4056
